Liberal;Forcing middle-class workers to bear a greater share of the cost of government weakens their support for needed investments and stirs resentment toward those who depend on public services the most .
Liberal;Because it would not be worthwhile to bring a case for $ 30.22 , the arbitration clause would , as a practical matter , deny the Concepcions any relief and , more important , eliminate a class action that might punish AT&T for its pattern of fraudulent behavior .
Liberal;Indeed , Lind argues that high profits and high wages reinforce each other because workers then have the wherewithal to buy the products they are making .
Liberal;In fairness , it should be noted that he devotes an entire chapter to New York Times political columnist Maureen Dowd , a liberal who makes much of the outsized rivalries , jealousies , and personalities that dominate American politics .
Liberal;Psychological tactics are social control techniques that operate at the level of the mind , with the goal of creating fear and making it difficult for protesters to successfully mobilize .
Liberal;The uncontrolled profit motive is destroying health and increasing medical costs dramatically as it poisons its customers with adulterated and unhealthy foods .
Liberal;Organizations representing the religious right have loyally rallied their members to support the conservative agenda , often using some deft intellectual gymnastics to justify their support .
Liberal;A market based on greed and fear has tugged on some of the worst things in us , and we are now paying the consequences .
Liberal;"THE CONSERVATIVE MOVEMENT IS ROOTED IN A COHERent , easy-to-summarize ideology : Government does n't work , except to protect you from terrorists ; you deserve to keep more of your own money ; cherished American family values , including national security , are under assault from liberals ."
Liberal;By eliminating the private insurer , you could save between $ 350 billion and $ 400 billion a year in administrative costs .21 If everyone was covered by the health care system , costs would be easier to control , and incentives could prompt health care providers to compete on price and quality .
Liberal;The additional schooling foisted upon one group by this arbitrary state of affairs produced a scaled-down version of our experiment , allowing Angrist and Krueger to conclude that education did , in fact , help people earn more money .
Liberal;If the government will do its job and prevent the flood of illegal immigration , and we will all help assure that immigrants become productive and loyal citizens , most Americans should come to see the value of immigration and view immigrants as valuable consumers and important creators of wealth .
Liberal;The rich countries that are primarily responsible for climate change , led by the U.S. , with Russia and Japan , are to blame for the lack of desperately needed greater ambition .
Liberal;These people said to us : Well , if you just would do away with Glass-Steagall , if you will just allow financial institutions , commercial banks , investment banks , insurance companies , if you allow them to merge , do away with these walls which Glass-Steagall , since the Great Depression , established , my God , it will be just terrific .
Liberal;Inevitably this forced them to cut some $ 270 billion out of the Medicare budget over a five-year span in order to finance a tax cut of roughly equal size .
Liberal;Hostility to taxes and open redistribution reflects a moral belief about what makes the country great , one that may fit awkwardly with Bush 's language of compassion and opportunity , but which is openly hostile to a progressive picture of shared economic sacrifice .
Liberal;I THINK the central idea in Marxism is of course one of contradiction , that the capitalist system is seen in its very foundation as containing a series of contradictions that clash with each other and therefore produce a society always founded on tensions of various sorts .
Liberal;Baucus had played a key role in helping George W. Bush enact tax cuts for the wealthy , and he took pride in his good relations with conservative Republicans , especially Iowa senator Chuck Grassley and Wyoming senator Mike Enzi .
Liberal;We are not going to let working families who are suffering hard times because , through no fault of their own , they have lost their jobs , we are not going to let them lose their homes or not enable them to feed their families .
Liberal;Johnston shows why lowincome people using the earned income tax credit are far more likely to be audited than rich people using baroque tax shelters .
Liberal;"Del Vecchio 's words manifest not merely an ethos of marketing , but politics made argumentative and simplistic ; ideology focused on narcissism and interest ; tele-religion and commercialized revivalism offering shallow solutions to deep problems-all deployed on behalf of a declining global economy unable to sell the poor what they need but laying desperately to sell the prosperous what they do n't need ."
